Qick Sort,Sorted rep. list,2176,0.441336552302
Qick Sort (RP),Random list,2176,0.416968743006
Qick Sort (RP),Repetitions list,2176,0.390711386998
Qick Sort (RP),Sorted list,2176,0.372075955073
Qick Sort (RP),Sorted rep. list,2176,0.380915006002
Bubble Sort,Random list,2304,1.74894396464
Bubble Sort,Repetitions list,2304,2.88994057973
Bubble Sort,Sorted list,2304,1.73935699463
Bubble Sort,Sorted rep. list,2304,2.88588563601
Insertion Sort,Random list,2304,0.680989742279
Insertion Sort,Repetitions list,2304,0.667137066523
Insertion Sort,Sorted list,2304,0.680898825328
Insertion Sort,Sorted rep. list,2304,0.666409333547
Qick Sort,Random list,2304,0.518318335215
Qick Sort,Repetitions list,2304,0.476941347122
Qick Sort,Sorted list,2304,0.512148777644
Qick Sort,Sorted rep. list,2304,0.476216554642
Qick Sort (RP),Random list,2304,0.419699033101
Qick Sort (RP),Repetitions list,2304,0.393263339996
Qick Sort (RP),Sorted list,2304,0.421211798986
Qick Sort (RP),Sorted rep. list,2304,0.378925720851
Bubble Sort,Random list,2432,1.97663195928
Bubble Sort,Repetitions list,2432,3.21597909927
Bubble Sort,Sorted list,2432,1.93038328489
Bubble Sort,Sorted rep. list,2432,3.21617992719
Insertion Sort,Random list,2432,0.768759330114
Insertion Sort,Repetitions list,2432,0.744359016418
Insertion Sort,Sorted list,2432,0.755527098974
Insertion Sort,Sorted rep. list,2432,0.744071324666
Qick Sort,Random list,2432,0.556041320165
Qick Sort,Repetitions list,2432,0.50651327769
Qick Sort,Sorted list,2432,0.554822921753
Qick Sort,Sorted rep. list,2432,0.510057290395
Qick Sort (RP),Random list,2432,0.422657410304
Qick Sort (RP),Repetitions list,2432,0.407898028692
Qick Sort (RP),Sorted list,2432,0.438529014587
Qick Sort (RP),Sorted rep. list,2432,0.43271613121
Bubble Sort,Random list,2560,2.14870325724
Bubble Sort,Repetitions list,2560,3.54828373591
Bubble Sort,Sorted list,2560,2.13601048787
Bubble Sort,Sorted rep. list,2560,3.54656497637
Insertion Sort,Random list,2560,0.835401614507
Insertion Sort,Repetitions list,2560,0.821930408478
Insertion Sort,Sorted list,2560,0.841359376907
Insertion Sort,Sorted rep. list,2560,0.823493639628
Qick Sort,Random list,2560,0.594538291295
Qick Sort,Repetitions list,2560,0.540453910828
Qick Sort,Sorted list,2560,0.592893997828
Qick Sort,Sorted rep. list,2560,0.545723279317
Qick Sort (RP),Random list,2560,0.48813700676
Qick Sort (RP),Repetitions list,2560,0.42724998792
Qick Sort (RP),Sorted list,2560,0.516163746516
Qick Sort (RP),Sorted rep. list,2560,0.455238978068
Bubble Sort,Random list,2688,2.36337200801
Bubble Sort,Repetitions list,2688,3.92658734322
Bubble Sort,Sorted list,2688,2.36325995127
Bubble Sort,Sorted rep. list,2688,3.92342003187
Insertion Sort,Random list,2688,0.923454284668
Insertion Sort,Repetitions list,2688,0.909064054489
Insertion Sort,Sorted list,2688,0.921863953273
Insertion Sort,Sorted rep. list,2688,0.9089123408
Qick Sort,Random list,2688,0.623761812846
Qick Sort,Repetitions list,2688,0.579295078913
Qick Sort,Sorted list,2688,0.630846977234
Qick Sort,Sorted rep. list,2688,0.572237332662
Qick Sort (RP),Random list,2688,0.507577419281
Qick Sort (RP),Repetitions list,2688,0.46297343572
Qick Sort (RP),Sorted list,2688,0.545282999674
Qick Sort (RP),Sorted rep. list,2688,0.510447581609
Bubble Sort,Random list,2816,2.60193371773
Bubble Sort,Repetitions list,2816,4.31092302004
Bubble Sort,Sorted list,2816,2.5870030721
Bubble Sort,Sorted rep. list,2816,4.33702643712
Insertion Sort,Random list,2816,1.01299158732
Insertion Sort,Repetitions list,2816,1.00550373395
Insertion Sort,Sorted list,2816,1.01091567675
Insertion Sort,Sorted rep. list,2816,1.01293174426
Qick Sort,Random list,2816,0.669330596924
Qick Sort,Repetitions list,2816,0.612033685048
Qick Sort,Sorted list,2816,0.665220022202
Qick Sort,Sorted rep. list,2816,0.605610450109
Qick Sort (RP),Random list,2816,0.601940631866
Qick Sort (RP),Repetitions list,2816,0.492966969808
Qick Sort (RP),Sorted list,2816,0.582125345866
Qick Sort (RP),Sorted rep. list,2816,0.492413679759
Bubble Sort,Random list,2944,2.84616859754
Bubble Sort,Repetitions list,2944,4.71244502068
Bubble Sort,Sorted list,2944,2.84699646632
Bubble Sort,Sorted rep. list,2944,4.72182472547
Insertion Sort,Random list,2944,1.10843237241
Insertion Sort,Repetitions list,2944,1.09154526393
Insertion Sort,Sorted list,2944,1.10955929756
Insertion Sort,Sorted rep. list,2944,1.09090868632
Qick Sort,Random list,2944,0.704917907715
Qick Sort,Repetitions list,2944,0.647902011871
Qick Sort,Sorted list,2944,0.692925930023
Qick Sort,Sorted rep. list,2944,0.645114183426
Qick Sort (RP),Random list,2944,0.583029429118
Qick Sort (RP),Repetitions list,2944,0.592344999313
Qick Sort (RP),Sorted list,2944,0.592908938726
Qick Sort (RP),Sorted rep. list,2944,0.538901011149
Bubble Sort,Random list,3072,3.10777719816
Bubble Sort,Repetitions list,3072,5.13940223058
Bubble Sort,Sorted list,3072,3.10634636879
Bubble Sort,Sorted rep. list,3072,5.1344080766
Insertion Sort,Random list,3072,1.2093603611
Insertion Sort,Repetitions list,3072,1.19107238452
Insertion Sort,Sorted list,3072,1.20274368922
Insertion Sort,Sorted rep. list,3072,1.18725236257
Qick Sort,Random list,3072,0.73366800944
Qick Sort,Repetitions list,3072,0.681586662928
Qick Sort,Sorted list,3072,0.737953265508
Qick Sort,Sorted rep. list,3072,0.680169741313
Qick Sort (RP),Random list,3072,0.604578971863
Qick Sort (RP),Repetitions list,3072,0.583063920339
Qick Sort (RP),Sorted list,3072,0.607830047607
Qick Sort (RP),Sorted rep. list,3072,0.569149653117
Bubble Sort,Random list,3200,3.37774300575
Bubble Sort,Repetitions list,3200,5.55737368266
Bubble Sort,Sorted list,3200,3.34381842613
Bubble Sort,Sorted rep. list,3200,5.55411370595
Insertion Sort,Random list,3200,1.30689899127
Insertion Sort,Repetitions list,3200,1.28833524386
Insertion Sort,Sorted list,3200,1.30471674601
Insertion Sort,Sorted rep. list,3200,1.28746557236
Qick Sort,Random list,3200,0.773172219594
Qick Sort,Repetitions list,3200,0.70472462972
Qick Sort,Sorted list,3200,0.77171866099
Qick Sort,Sorted rep. list,3200,0.71049729983
Qick Sort (RP),Random list,3200,0.679469664892
Qick Sort (RP),Repetitions list,3200,0.63680100441
Qick Sort (RP),Sorted list,3200,0.650849660238
Qick Sort (RP),Sorted rep. list,3200,0.609882911046
Bubble Sort,Random list,3328,3.63734046618
Bubble Sort,Repetitions list,3328,6.02850731214
Bubble Sort,Sorted list,3328,3.66264041265
Bubble Sort,Sorted rep. list,3328,6.02649505933
Insertion Sort,Random list,3328,1.41951100032
Insertion Sort,Repetitions list,3328,1.39847803116
Insertion Sort,Sorted list,3328,1.44071205457
Insertion Sort,Sorted rep. list,3328,1.39985561371
Qick Sort,Random list,3328,0.804261763891
Qick Sort,Repetitions list,3328,0.742324034373
Qick Sort,Sorted list,3328,0.808043241501
Qick Sort,Sorted rep. list,3328,0.743830919266
Qick Sort (RP),Random list,3328,0.737348397573
Qick Sort (RP),Repetitions list,3328,0.632622639338
Qick Sort (RP),Sorted list,3328,0.735014438629
Qick Sort (RP),Sorted rep. list,3328,0.628030061722
Bubble Sort,Random list,3456,3.9399377505
Bubble Sort,Repetitions list,3456,6.4985546271
Bubble Sort,Sorted list,3456,3.92050449053
Bubble Sort,Sorted rep. list,3456,6.52826793989
Insertion Sort,Random list,3456,1.52639730771
Insertion Sort,Repetitions list,3456,1.50576106707
Insertion Sort,Sorted list,3456,1.52218270302
Insertion Sort,Sorted rep. list,3456,1.50215339661
Qick Sort,Random list,3456,0.852291266123
Qick Sort,Repetitions list,3456,0.778686682383
Qick Sort,Sorted list,3456,0.848559300105
Qick Sort,Sorted rep. list,3456,0.775228738785
Qick Sort (RP),Random list,3456,0.726369063059
Qick Sort (RP),Repetitions list,3456,0.658161004384
Qick Sort (RP),Sorted list,3456,0.725841999054
Qick Sort (RP),Sorted rep. list,3456,0.682342290878
Bubble Sort,Random list,3584,4.2329270045
Bubble Sort,Repetitions list,3584,6.99160162608
Bubble Sort,Sorted list,3584,4.23714359601
Bubble Sort,Sorted rep. list,3584,6.98331801097
Insertion Sort,Random list,3584,1.64187892278
Insertion Sort,Repetitions list,3584,1.61489804586
Insertion Sort,Sorted list,3584,1.63861966133
Insertion Sort,Sorted rep. list,3584,1.61408861478
Qick Sort,Random list,3584,0.882798353831
Qick Sort,Repetitions list,3584,0.80516076088
Qick Sort,Sorted list,3584,0.894012292226
Qick Sort,Sorted rep. list,3584,0.813102006912
Qick Sort (RP),Random list,3584,0.79297709465
Qick Sort (RP),Repetitions list,3584,0.701305627823
Qick Sort (RP),Sorted list,3584,0.748253981272
Qick Sort (RP),Sorted rep. list,3584,0.693825006485
Bubble Sort,Random list,3712,4.55342626572
Bubble Sort,Repetitions list,3712,7.51481525103
Bubble Sort,Sorted list,3712,4.55150532722
Bubble Sort,Sorted rep. list,3712,7.50045108795
Insertion Sort,Random list,3712,1.76311794917
